"종목코드","종목명","시장구분","종가","시가총액","기준일","EPS","선행EPS","BPS","주당배당금","종목구분"
"000020","동화약품","KOSPI","6700","187140849000","20250728","201.0","","13470.0","180.0","보통주"
"000040","KR모터스","KOSPI","498","29946168264","20250728","","","543.0","0.0","보통주"
"000050","경방","KOSPI","7530","206436983100","20250728","947.0","","30489.0","150.0","보통주"
"000070","삼양홀딩스","KOSPI","86000","749699410000","20250728","3651.0","","272260.0","3500.0","보통주"
"000075","삼양홀딩스우","KOSPI","85200","12856168800","20250728","","","","3550.0","우선주"
"000080","하이트진로","KOSPI","20150","1413192261650","20250728","1378.0","1877.0","16148.0","700.0","보통주"
"000087","하이트진로2우B","KOSPI","15900","17969194200","20250728","","","","750.0","우선주"
"000100","유한양행","KOSPI","120300","9620202971100","20250728","943.0","1811.0","28030.0","500.0","보통주"
"000105","유한양행우","KOSPI","104500","123408230000","20250728","","","","510.0","우선주"
"000120","CJ대한통운","KOSPI","88700","2023454912800","20250728","12088.0","11999.0","197983.0","800.0","보통주"
"000140","하이트진로홀딩스","KOSPI","10260","238101408900","20250728","2106.0","","25790.0","350.0","보통주"
"000145","하이트진로홀딩스우","KOSPI","12890","6068740900","20250728","","","","400.0","우선주"
"000150","두산","KOSPI","537000","8873299395000","20250728","","15589.0","83153.0","2000.0","보통주"
"000155","두산우","KOSPI","367500","1468699785000","20250728","","","","2050.0","우선주"
"000157","두산2우B","KOSPI","386000","344712668000","20250728","","","","2000.0","우선주"
"000180","성창기업지주","KOSPI","1569","109440260400","20250728","","","8292.0","0.0","보통주"
"000210","DL","KOSPI","52100","1091801556400","20250728","3948.0","6255.0","181662.0","1000.0","보통주"
"000215","DL우","KOSPI","26850","45272187750","20250728","","","","1050.0","우선주"
"000220","유유제약","KOSPI","4460","75964285460","20250728","468.0","","6671.0","100.0","보통주"
"000225","유유제약1우","KOSPI","5000","11334650000","20250728","","","","120.0","우선주"
"000227","유유제약2우B","KOSPI","10590","3447680400","20250728","","","","120.0","우선주"
"000230","일동홀딩스","KOSPI","8860","102247944000","20250728","5582.0","","11857.0","0.0","보통주"
"000240","한국앤컴퍼니","KOSPI","23950","2273698998000","20250728","3703.0","4033.0","47012.0","1000.0","보통주"
"000250","삼천당제약","KOSDAQ","220500","5172372576000","20250728","","","11442.0","200.0","보통주"
"000270","기아","KOSPI","105500","41954462676000","20250728","24893.0","21948.0","141812.0","6500.0","보통주"
"000300","DH오토넥스","KOSPI","1984","162944308992","20250728","5650.0","","426.0","0.0","보통주"
"000320","노루홀딩스","KOSPI","22350","297057224850","20250728","4836.0","3245.0","44812.0","550.0","보통주"
"000325","노루홀딩스우","KOSPI","30700","7477261300","20250728","","","","555.0","우선주"
"000370","한화손해보험","KOSPI","6120","714442159800","20250728","2121.0","2402.0","18660.0","0.0","보통주"
"000390","삼화페인트","KOSPI","6130","166757264970","20250728","654.0","","13171.0","350.0","보통주"
"000400","롯데손해보험","KOSPI","1762","546812595840","20250728","68.0","","2569.0","0.0","보통주"
"000430","대원강업","KOSPI","3615","224130000000","20250728","381.0","","8359.0","110.0","보통주"
"000440","중앙에너비스","KOSDAQ","15440","96146887200","20250728","","","12305.0","320.0","보통주"
"000480","CR홀딩스","KOSPI","5470","256490980300","20250728","","","14790.0","410.0","보통주"
"000490","대동","KOSPI","9720","256536635760","20250728","","","17911.0","100.0","보통주"
