"종목코드","기준일","지표","값"
"000020","20250728","PER","-116.963"
"000020","20250728","PSR","0.3967"
"000020","20250728","PCR","-11.9198"
"000020","20250728","PBR","0.4642"
"000040","20250728","PER","-4.4038"
"000040","20250728","PSR","1.772"
"000040","20250728","PCR","-6.8059"
"000040","20250728","PBR","0.9477"
"000050","20250728","PER","7.8493"
"000050","20250728","PSR","0.514"
"000050","20250728","PCR","4.8459"
"000050","20250728","PBR","0.2748"
"000070","20250728","PER","8.9356"
"000070","20250728","PSR","0.2113"
"000070","20250728","PCR","3.9067"
"000070","20250728","PBR","0.2512"
"000080","20250728","PER","13.1338"
"000080","20250728","PSR","0.5455"
"000080","20250728","PCR","3.942"
"000080","20250728","PBR","1.2314"
"000100","20250728","PER","177.1676"
"000100","20250728","PSR","4.549"
"000100","20250728","PCR","189.3741"
"000100","20250728","PBR","4.4941"
"000120","20250728","PER","7.9695"
"000120","20250728","PSR","0.166"
"000120","20250728","PCR","3.3401"
"000120","20250728","PBR","0.4915"
"000140","20250728","PER","2.3834"
"000140","20250728","PSR","0.0924"
"000140","20250728","PCR","0.7101"
"000140","20250728","PBR","0.2065"
"000150","20250728","PER","101.2934"
"000150","20250728","PSR","0.4938"
"000150","20250728","PCR","-12.9746"
"000150","20250728","PBR","0.7492"
"000180","20250728","PER","-28.8001"
"000180","20250728","PSR","0.7954"
"000180","20250728","PCR","34.2001"
"000180","20250728","PBR","0.1889"
"000210","20250728","PER","25.2148"
"000210","20250728","PSR","0.195"
"000210","20250728","PCR","2.0343"
"000210","20250728","PBR","0.233"
"000220","20250728","PER","9.8655"
"000220","20250728","PSR","0.5725"
"000220","20250728","PCR","2.9217"
"000220","20250728","PBR","0.5729"
"000230","20250728","PER","1.7272"
"000230","20250728","PSR","0.1584"
"000230","20250728","PCR","3.9478"
"000230","20250728","PBR","0.4951"
"000240","20250728","PER","6.4575"
"000240","20250728","PSR","1.5889"
"000240","20250728","PCR","18.5608"
"000240","20250728","PBR","0.5188"
"000250","20250728","PER","-847.9299"
"000250","20250728","PSR","24.272"
"000250","20250728","PCR","248.6718"
"000250","20250728","PBR","14.689"
"000270","20250728","PER","4.483"
"000270","20250728","PSR","0.384"
"000270","20250728","PCR","3.3909"
"000270","20250728","PBR","0.7807"
"000300","20250728","PER","1.4023"
"000300","20250728","PSR","4.9527"
"000300","20250728","PCR","16.459"
"000300","20250728","PBR","-2.8955"
"000320","20250728","PER","3.7794"
"000320","20250728","PSR","0.2364"
"000320","20250728","PCR","3.9927"
"000320","20250728","PBR","0.3944"
"000370","20250728","PER","2.1327"
"000370","20250728","PCR","0.559"
"000370","20250728","PBR","0.2446"
"000390","20250728","PER","15.4405"
"000390","20250728","PSR","0.2684"
"000390","20250728","PCR","5.7701"
"000390","20250728","PBR","0.5218"
"000400","20250728","PER","341.7579"
"000400","20250728","PCR","3.114"
"000400","20250728","PBR","0.6976"
"000430","20250728","PER","6.5535"
"000430","20250728","PSR","0.153"
"000430","20250728","PCR","3.4323"
"000430","20250728","PBR","0.3287"
"000440","20250728","PER","-137.3527"
"000440","20250728","PSR","1.8669"
"000440","20250728","PCR","-160.2448"
"000440","20250728","PBR","1.7764"
"000480","20250728","PER","-25.3951"
"000480","20250728","PSR","0.3138"
"000480","20250728","PCR","5.6746"
"000480","20250728","PBR","0.3066"
"000490","20250728","PER","-6.9147"
"000490","20250728","PSR","0.1782"
"000490","20250728","PCR","0.8503"
"000490","20250728","PBR","0.4029"
"000500","20250728","PER","33.8192"
"000500","20250728","PSR","0.5441"
"000500","20250728","PCR","-28.8834"
"000500","20250728","PBR","2.669"
"000520","20250728","PER","-17.1699"
"000520","20250728","PSR","1.0253"
"000520","20250728","PCR","-42.9248"
"000520","20250728","PBR","1.2915"
"000540","20250728","PER","1.6138"
"000540","20250728","PCR","0.4721"
"000540","20250728","PBR","0.3461"
"000590","20250728","PER","2.6498"
"000590","20250728","PSR","0.7358"
"000590","20250728","PCR","4.2578"
"000590","20250728","PBR","0.2694"
"000640","20250728","PER","10.9905"
"000640","20250728","PSR","0.5492"
"000640","20250728","PCR","7.1512"
"000640","20250728","PBR","0.7006"
"000020","20250728","DY","0.0269"
"000050","20250728","DY","0.0199"
"000070","20250728","DY","0.0407"
"000080","20250728","DY","0.0347"
"000100","20250728","DY","0.0042"
"000120","20250728","DY","0.009"
"000140","20250728","DY","0.0341"
"000150","20250728","DY","0.0037"
"000210","20250728","DY","0.0192"
"000220","20250728","DY","0.0224"
"000240","20250728","DY","0.0418"
"000250","20250728","DY","0.0009"
"000270","20250728","DY","0.0616"
"000320","20250728","DY","0.0246"
"000390","20250728","DY","0.0571"
"000430","20250728","DY","0.0304"
"000440","20250728","DY","0.0207"
"000480","20250728","DY","0.075"
"000490","20250728","DY","0.0103"
"000590","20250728","DY","0.0058"
"000640","20250728","DY","0.0149"
"000660","20250728","DY","0.0084"
"000670","20250728","DY","0.0001"
"000700","20250728","DY","0.0592"
"000720","20250728","DY","0.0091"
"000810","20250728","DY","0.0436"
"000850","20250728","DY","0.0327"
"000860","20250728","DY","0.0199"
"000880","20250728","DY","0.0086"
"000910","20250728","DY","0.0257"
"000950","20250728","DY","0.0294"
"000970","20250728","DY","0.0553"
"000990","20250728","DY","0.0267"
"001040","20250728","DY","0.0201"
"001060","20250728","DY","0.0201"
"001120","20250728","DY","0.0626"
"001130","20250728","DY","0.0232"
"001200","20250728","DY","0.0289"
"001230","20250728","DY","0.0592"
"001250","20250728","DY","0.0092"
"001270","20250728","DY","0.0281"
"001390","20250728","DY","0.0281"
"001420","20250728","DY","0.0533"
"001430","20250728","DY","0.0367"
"001460","20250728","DY","0.0088"
"001500","20250728","DY","0.0209"
"001510","20250728","DY","0.0015"
"001530","20250728","DY","0.0059"
"001540","20250728","DY","0.0568"
"001560","20250728","DY","0.0326"
"001630","20250728","DY","0.0274"
"001680","20250728","DY","0.037"
"001720","20250728","DY","0.0351"
"001740","20250728","DY","0.0669"
"001750","20250728","DY","0.0548"
"001770","20250728","DY","0.0053"
"001790","20250728","DY","0.0399"
"001800","20250728","DY","0.0364"
"001810","20250728","DY","0.0064"
"001820","20250728","DY","0.019"
"001940","20250728","DY","0.071"
"002020","20250728","DY","0.0111"
"002030","20250728","DY","0.0163"
"002100","20250728","DY","0.0463"
"002140","20250728","DY","0.0105"
"002150","20250728","DY","0.0425"
"002170","20250728","DY","0.0275"
"002200","20250728","DY","0.0273"
"002220","20250728","DY","0.0036"
"002230","20250728","DY","0.0543"
"002240","20250728","DY","0.019"
"002290","20250728","DY","0.055"
"002310","20250728","DY","0.0276"
"002320","20250728","DY","0.0293"
"002350","20250728","DY","0.0211"
"002380","20250728","DY","0.027"
"002390","20250728","DY","0.017"
"002450","20250728","DY","0.0397"
"002460","20250728","DY","0.0468"
"002600","20250728","DY","0.0392"
"002620","20250728","DY","0.0058"
"002700","20250728","DY","0.0069"
"002710","20250728","DY","0.0051"
"002720","20250728","DY","0.0064"
"002760","20250728","DY","0.005"
"002790","20250728","DY","0.0109"
"002800","20250728","DY","0.0105"
"002810","20250728","DY","0.0425"
"002840","20250728","DY","0.0124"
"002900","20250728","DY","0.022"
"002920","20250728","DY","0.0171"
"002960","20250728","DY","0.0615"
"003010","20250728","DY","0.0344"
"003030","20250728","DY","0.0083"
"003070","20250728","DY","0.0419"
"003080","20250728","DY","0.0475"
"003090","20250728","DY","0.0084"
"003100","20250728","DY","0.0234"
"003120","20250728","DY","0.0396"
"003160","20250728","DY","0.0071"
"003200","20250728","DY","0.0193"
"003220","20250728","DY","0.0228"
"003230","20250728","DY","0.0025"
"003240","20250728","DY","0.0017"
"003300","20250728","DY","0.0534"
"003310","20250728","DY","0.023"
"003350","20250728","DY","0.0033"
"003380","20250728","DY","0.0126"
"003460","20250728","DY","0.0571"
"003470","20250728","DY","0.0547"
"003480","20250728","DY","0.0232"
"003490","20250728","DY","0.0312"
"003540","20250728","DY","0.047"
"003550","20250728","DY","0.0394"
"003570","20250728","DY","0.0254"
"003610","20250728","DY","0.0137"
"003650","20250728","DY","0.0265"
"003690","20250728","DY","0.0491"
"003720","20250728","DY","0.0048"
"003780","20250728","DY","0.0498"
"003800","20250728","DY","0.0492"
"003830","20250728","DY","0.0056"
"003850","20250728","DY","0.0117"
"003920","20250728","DY","0.0016"
"003960","20250728","DY","0.0073"
"004000","20250728","DY","0.0335"
"004020","20250728","DY","0.0203"
"004080","20250728","DY","0.0205"
"004090","20250728","DY","0.0087"
"004100","20250728","DY","0.0043"
"004140","20250728","DY","0.0065"
"004150","20250728","DY","0.0373"
"004170","20250728","DY","0.0263"
"004250","20250728","DY","0.0236"
"004310","20250728","DY","0.0075"
"004360","20250728","DY","0.0212"
"004370","20250728","DY","0.0131"
"004380","20250728","DY","0.01"
"004430","20250728","DY","0.027"
"004450","20250728","DY","0.0323"
"004490","20250728","DY","0.0153"
"004560","20250728","DY","0.0078"
"004590","20250728","DY","0.0369"
"004650","20250728","DY","0.0576"
"004690","20250728","DY","0.0212"
"004710","20250728","DY","0.0256"
"004770","20250728","DY","0.0164"
"004780","20250728","DY","0.0312"
"004800","20250728","DY","0.0378"
"004830","20250728","DY","0.0168"
"004840","20250728","DY","0.0188"
"004890","20250728","DY","0.0279"
"004910","20250728","DY","0.0337"
"004960","20250728","DY","0.0126"
"004970","20250728","DY","0.0513"
"004980","20250728","DY","0.0372"
"004990","20250728","DY","0.0424"
"005010","20250728","DY","0.0318"
"005090","20250728","DY","0.0683"
"005160","20250728","DY","0.0321"
"005180","20250728","DY","0.0407"
"005250","20250728","DY","0.0308"
"005290","20250728","DY","0.0061"
"005300","20250728","DY","0.0259"
"005360","20250728","DY","0.0146"
"005380","20250728","DY","0.0549"
"005430","20250728","DY","0.0161"
"005440","20250728","DY","0.0246"
"005490","20250728","DY","0.031"
"005500","20250728","DY","0.04"
"005610","20250728","DY","0.0323"
"005670","20250728","DY","0.0223"
"005680","20250728","DY","0.0275"
"005690","20250728","DY","0.0016"
"005710","20250728","DY","0.0177"
"005720","20250728","DY","0.0209"
"005740","20250728","DY","0.0169"
