종목명,종목코드,현재가,시가총액,매출성장률,순이익률,부채비율,PER,PBR,평가점수,종합평가,평가이유,성장성점수,수익성점수,안정성점수,투자지표점수
동화약품,000020,6700,187140849000,28.745499861534203,0.4517100451710045,54.269355240229025,-116.963,0.4642,40,보통,매출 성장률이 28.75%로 우수함; 순이익률이 0.45%로 개선 필요; 부채비율이 54.27%로 높음; PER이 -116.96로 저평가 가능성; PBR이 0.46로 저평가 가능성,20,0,0,20
KR모터스,000040,498,29946168264,20.30075187969925,-88.75,161.34969325153375,-4.4038,0.9477,50,보통,매출 성장률이 20.30%로 우수함; 순이익률이 -88.75%로 개선 필요; 부채비율이 161.35%로 높음; PER이 -4.40로 저평가 가능성; PBR이 0.95로 적정 수준,20,0,0,30
경방,000050,7530,206436983100,0.9656925031766201,5.940095645607853,59.86045286993155,7.8493,0.2748,30,주의 필요,매출 성장률이 0.97%로 저조함; 순이익률이 5.94%로 개선 필요; 부채비율이 59.86%로 높음; PER이 7.85로 적정 수준; PBR이 0.27로 저평가 가능성,0,0,0,30
삼양홀딩스,000070,86000,749699410000,10.66367685072721,2.518785354459235,76.4617591141056,8.9356,0.2512,40,보통,매출 성장률이 10.66%로 양호함; 순이익률이 2.52%로 개선 필요; 부채비율이 76.46%로 높음; PER이 8.94로 적정 수준; PBR이 0.25로 저평가 가능성,10,0,0,30
하이트진로,000080,20150,1413192261650,3.1346718514403618,3.681902123730379,199.39103958242714,13.1338,1.2314,40,보통,매출 성장률이 3.13%로 저조함; 순이익률이 3.68%로 개선 필요; 부채비율이 199.39%로 높음; PER이 13.13로 적정 수준; PBR이 1.23로 적정 수준,0,0,0,40
유한양행,000100,120300,9620202971100,11.231845077998925,2.66950382048554,36.79732180220394,177.1676,4.4941,10,주의 필요,매출 성장률이 11.23%로 양호함; 순이익률이 2.67%로 개선 필요; 부채비율이 36.80%로 높음; PER이 177.17로 고평가 가능성; PBR이 4.49로 고평가 가능성,10,0,0,0
CJ대한통운,000120,88700,2023454912800,2.964845044570399,2.214280998283375,130.5921052631579,7.9695,0.4915,30,주의 필요,매출 성장률이 2.96%로 저조함; 순이익률이 2.21%로 개선 필요; 부채비율이 130.59%로 높음; PER이 7.97로 적정 수준; PBR이 0.49로 저평가 가능성,0,0,0,30
하이트진로홀딩스,000140,10260,238101408900,3.119390482268938,3.5124366562221967,253.2051282051282,2.3834,0.2065,20,주의 필요,매출 성장률이 3.12%로 저조함; 순이익률이 3.51%로 개선 필요; 부채비율이 253.21%로 높음; PER이 2.38로 저평가 가능성; PBR이 0.21로 저평가 가능성,0,0,0,20
두산,000150,537000,8873299395000,-5.212727586369125,1.6665839441016055,153.52706169309053,101.2934,0.7492,20,주의 필요,매출 성장률이 -5.21%로 저조함; 순이익률이 1.67%로 개선 필요; 부채비율이 153.53%로 높음; PER이 101.29로 고평가 가능성; PBR이 0.75로 적정 수준,0,0,0,20
성창기업지주,000180,1569,109440260400,-13.950691521346965,-2.515723270440252,24.464038727524205,-28.8001,0.1889,20,주의 필요,매출 성장률이 -13.95%로 저조함; 순이익률이 -2.52%로 개선 필요; 부채비율이 24.46%로 높음; PER이 -28.80로 저평가 가능성; PBR이 0.19로 저평가 가능성,0,0,0,20
DL,000210,52100,1091801556400,11.909601817529595,1.6882145528368415,161.910532583941,25.2148,0.233,20,주의 필요,매출 성장률이 11.91%로 양호함; 순이익률이 1.69%로 개선 필요; 부채비율이 161.91%로 높음; PER이 25.21로 고평가 가능성; PBR이 0.23로 저평가 가능성,10,0,0,10
유유제약,000220,4460,75964285460,-2.988338192419825,7.738542449286251,53.7379718726869,9.8655,0.5729,40,보통,매출 성장률이 -2.99%로 저조함; 순이익률이 7.74%로 개선 필요; 부채비율이 53.74%로 높음; PER이 9.87로 적정 수준; PBR이 0.57로 적정 수준,0,0,0,40
일동홀딩스,000230,8860,102247944000,3.007518796992481,8.454987834549877,236.49606299212599,1.7272,0.4951,20,주의 필요,매출 성장률이 3.01%로 저조함; 순이익률이 8.45%로 개선 필요; 부채비율이 236.50%로 높음; PER이 1.73로 저평가 가능성; PBR이 0.50로 저평가 가능성,0,0,0,20
한국앤컴퍼니,000240,23950,2273698998000,27.649811874827932,25.21207764198418,15.351793213411485,6.4575,0.5188,100,매우 좋음,매출 성장률이 27.65%로 우수함; 순이익률이 25.21%로 우수함; 부채비율이 15.35%로 안정적임; PER이 6.46로 적정 수준; PBR이 0.52로 적정 수준,20,20,20,40
삼천당제약,000250,220500,5172372576000,9.444732745199792,-2.418207681365576,48.769318832283915,-847.9299,14.689,10,주의 필요,매출 성장률이 9.44%로 저조함; 순이익률이 -2.42%로 개선 필요; 부채비율이 48.77%로 높음; PER이 -847.93로 저평가 가능성; PBR이 14.69로 고평가 가능성,0,0,0,10
기아,000270,105500,41954462676000,7.65506710858004,9.097356136131813,66.10924368243008,4.483,0.7807,30,주의 필요,매출 성장률이 7.66%로 저조함; 순이익률이 9.10%로 개선 필요; 부채비율이 66.11%로 높음; PER이 4.48로 저평가 가능성; PBR이 0.78로 적정 수준,0,0,0,30
DH오토넥스,000300,1984,162944308992,-1.2195121951219512,350.3086419753086,152.29007633587784,1.4023,-2.8955,40,보통,매출 성장률이 -1.22%로 저조함; 순이익률이 350.31%로 우수함; 부채비율이 152.29%로 높음; PER이 1.40로 저평가 가능성; PBR이 -2.90로 저평가 가능성,0,20,0,20
노루홀딩스,000320,22350,297057224850,2.7501029230135856,6.579052808718647,57.31675731675732,3.7794,0.3944,20,주의 필요,매출 성장률이 2.75%로 저조함; 순이익률이 6.58%로 개선 필요; 부채비율이 57.32%로 높음; PER이 3.78로 저평가 가능성; PBR이 0.39로 저평가 가능성,0,0,0,20
한화손해보험,000370,6120,714442159800,,,571.6399715553148,2.1327,0.2446,20,주의 필요,매출 데이터 부족; 재무 데이터 부족; 부채비율이 571.64%로 높음; PER이 2.13로 저평가 가능성; PBR이 0.24로 저평가 가능성,0,0,0,20
삼화페인트,000390,6130,166757264970,-0.4909724421919544,2.4669743752984243,87.89441747572816,15.4405,0.5218,20,주의 필요,매출 성장률이 -0.49%로 저조함; 순이익률이 2.47%로 개선 필요; 부채비율이 87.89%로 높음; PER이 15.44로 고평가 가능성; PBR이 0.52로 적정 수준,0,0,0,20
롯데손해보험,000400,1762,546812595840,,,1856.8622513220853,341.7579,0.6976,20,주의 필요,매출 데이터 부족; 재무 데이터 부족; 부채비율이 1856.86%로 높음; PER이 341.76로 고평가 가능성; PBR이 0.70로 적정 수준,0,0,0,20
대원강업,000430,3615,224130000000,23.56342609324178,2.3325533781807546,91.23348017621146,6.5535,0.3287,50,보통,매출 성장률이 23.56%로 우수함; 순이익률이 2.33%로 개선 필요; 부채비율이 91.23%로 높음; PER이 6.55로 적정 수준; PBR이 0.33로 저평가 가능성,20,0,0,30
중앙에너비스,000440,15440,96146887200,-10.27027027027027,-1.8072289156626504,7.142857142857142,-137.3527,1.7764,50,보통,매출 성장률이 -10.27%로 저조함; 순이익률이 -1.81%로 개선 필요; 부채비율이 7.14%로 안정적임; PER이 -137.35로 저평가 가능성; PBR이 1.78로 적정 수준,0,0,20,30
CR홀딩스,000480,5470,256490980300,-0.7467254253886645,0.30833744449926,96.92611066001623,-25.3951,0.3066,20,주의 필요,매출 성장률이 -0.75%로 저조함; 순이익률이 0.31%로 개선 필요; 부채비율이 96.93%로 높음; PER이 -25.40로 저평가 가능성; PBR이 0.31로 저평가 가능성,0,0,0,20
