종목명,종목코드,현재가,시가총액,매출성장률,순이익률,부채비율,PER,PBR,평가점수,종합평가,평가이유
동화약품,000020,6700,187140849000,28.745499861534203,0.4517100451710045,54.269355240229025,-116.963,0.4642,60,좋음,매출 성장률이 28.75%로 우수함; 순이익률이 0.45%로 개선 필요; 부채비율이 54.27%로 안정적임; PER이 -116.96로 저평가 가능성; PBR이 0.46로 저평가 가능성
KR모터스,000040,498,29946168264,20.30075187969925,-88.75,161.34969325153375,-4.4038,0.9477,60,좋음,매출 성장률이 20.30%로 우수함; 순이익률이 -88.75%로 개선 필요; 부채비율이 161.35%로 보통 수준; PER이 -4.40로 저평가 가능성; PBR이 0.95로 적정 수준
경방,000050,7530,206436983100,0.9656925031766201,5.940095645607853,59.86045286993155,7.8493,0.2748,70,좋음,매출 성장률이 0.97%로 양호함; 순이익률이 5.94%로 양호함; 부채비율이 59.86%로 안정적임; PER이 7.85로 적정 수준; PBR이 0.27로 저평가 가능성
삼양홀딩스,000070,86000,749699410000,10.66367685072721,2.518785354459235,76.4617591141056,8.9356,0.2512,70,좋음,매출 성장률이 10.66%로 우수함; 순이익률이 2.52%로 개선 필요; 부채비율이 76.46%로 안정적임; PER이 8.94로 적정 수준; PBR이 0.25로 저평가 가능성
삼양홀딩스우,000075,85200,12856168800,,,,,,0,주의 필요,
하이트진로,000080,20150,1413192261650,3.1346718514403618,3.681902123730379,199.39103958242714,13.1338,1.2314,60,좋음,매출 성장률이 3.13%로 양호함; 순이익률이 3.68%로 개선 필요; 부채비율이 199.39%로 보통 수준; PER이 13.13로 적정 수준; PBR이 1.23로 적정 수준
하이트진로2우B,000087,15900,17969194200,,,,,,0,주의 필요,
유한양행,000100,120300,9620202971100,11.231845077998925,2.66950382048554,36.79732180220394,177.1676,4.4941,40,보통,매출 성장률이 11.23%로 우수함; 순이익률이 2.67%로 개선 필요; 부채비율이 36.80%로 안정적임; PER이 177.17로 고평가 가능성; PBR이 4.49로 고평가 가능성
유한양행우,000105,104500,123408230000,,,,,,0,주의 필요,
CJ대한통운,000120,88700,2023454912800,2.964845044570399,2.214280998283375,130.5921052631579,7.9695,0.4915,50,보통,매출 성장률이 2.96%로 양호함; 순이익률이 2.21%로 개선 필요; 부채비율이 130.59%로 보통 수준; PER이 7.97로 적정 수준; PBR이 0.49로 저평가 가능성
하이트진로홀딩스,000140,10260,238101408900,3.119390482268938,3.5124366562221967,253.2051282051282,2.3834,0.2065,30,주의 필요,매출 성장률이 3.12%로 양호함; 순이익률이 3.51%로 개선 필요; 부채비율이 253.21%로 높음; PER이 2.38로 저평가 가능성; PBR이 0.21로 저평가 가능성
하이트진로홀딩스우,000145,12890,6068740900,,,,,,0,주의 필요,
두산,000150,537000,8873299395000,-5.212727586369125,1.6665839441016055,153.52706169309053,101.2934,0.7492,30,주의 필요,매출 성장률이 -5.21%로 저조함; 순이익률이 1.67%로 개선 필요; 부채비율이 153.53%로 보통 수준; PER이 101.29로 고평가 가능성; PBR이 0.75로 적정 수준
두산우,000155,367500,1468699785000,,,,,,0,주의 필요,
두산2우B,000157,386000,344712668000,,,,,,0,주의 필요,
성창기업지주,000180,1569,109440260400,-13.950691521346965,-2.515723270440252,24.464038727524205,-28.8001,0.1889,40,보통,매출 성장률이 -13.95%로 저조함; 순이익률이 -2.52%로 개선 필요; 부채비율이 24.46%로 안정적임; PER이 -28.80로 저평가 가능성; PBR이 0.19로 저평가 가능성
DL,000210,52100,1091801556400,11.909601817529595,1.6882145528368415,161.910532583941,25.2148,0.233,40,보통,매출 성장률이 11.91%로 우수함; 순이익률이 1.69%로 개선 필요; 부채비율이 161.91%로 보통 수준; PER이 25.21로 고평가 가능성; PBR이 0.23로 저평가 가능성
DL우,000215,26850,45272187750,,,,,,0,주의 필요,
유유제약,000220,4460,75964285460,-2.988338192419825,7.738542449286251,53.7379718726869,9.8655,0.5729,70,좋음,매출 성장률이 -2.99%로 저조함; 순이익률이 7.74%로 양호함; 부채비율이 53.74%로 안정적임; PER이 9.87로 적정 수준; PBR이 0.57로 적정 수준
유유제약1우,000225,5000,11334650000,,,,,,0,주의 필요,
유유제약2우B,000227,10590,3447680400,,,,,,0,주의 필요,
일동홀딩스,000230,8860,102247944000,3.007518796992481,8.454987834549877,236.49606299212599,1.7272,0.4951,40,보통,매출 성장률이 3.01%로 양호함; 순이익률이 8.45%로 양호함; 부채비율이 236.50%로 높음; PER이 1.73로 저평가 가능성; PBR이 0.50로 저평가 가능성
한국앤컴퍼니,000240,23950,2273698998000,27.649811874827932,25.21207764198418,15.351793213411485,6.4575,0.5188,100,매우 좋음,매출 성장률이 27.65%로 우수함; 순이익률이 25.21%로 우수함; 부채비율이 15.35%로 안정적임; PER이 6.46로 적정 수준; PBR이 0.52로 적정 수준
삼천당제약,000250,220500,5172372576000,9.444732745199792,-2.418207681365576,48.769318832283915,-847.9299,14.689,40,보통,매출 성장률이 9.44%로 양호함; 순이익률이 -2.42%로 개선 필요; 부채비율이 48.77%로 안정적임; PER이 -847.93로 저평가 가능성; PBR이 14.69로 고평가 가능성
기아,000270,105500,41954462676000,7.65506710858004,9.097356136131813,66.10924368243008,4.483,0.7807,70,좋음,매출 성장률이 7.66%로 양호함; 순이익률이 9.10%로 양호함; 부채비율이 66.11%로 안정적임; PER이 4.48로 저평가 가능성; PBR이 0.78로 적정 수준
DH오토넥스,000300,1984,162944308992,-1.2195121951219512,350.3086419753086,152.29007633587784,1.4023,-2.8955,50,보통,매출 성장률이 -1.22%로 저조함; 순이익률이 350.31%로 우수함; 부채비율이 152.29%로 보통 수준; PER이 1.40로 저평가 가능성; PBR이 -2.90로 저평가 가능성
노루홀딩스,000320,22350,297057224850,2.7501029230135856,6.579052808718647,57.31675731675732,3.7794,0.3944,60,좋음,매출 성장률이 2.75%로 양호함; 순이익률이 6.58%로 양호함; 부채비율이 57.32%로 안정적임; PER이 3.78로 저평가 가능성; PBR이 0.39로 저평가 가능성
노루홀딩스우,000325,30700,7477261300,,,,,,0,주의 필요,
한화손해보험,000370,6120,714442159800,,,571.6399715553148,2.1327,0.2446,20,주의 필요,부채비율이 571.64%로 높음; PER이 2.13로 저평가 가능성; PBR이 0.24로 저평가 가능성
삼화페인트,000390,6130,166757264970,-0.4909724421919544,2.4669743752984243,87.89441747572816,15.4405,0.5218,40,보통,매출 성장률이 -0.49%로 저조함; 순이익률이 2.47%로 개선 필요; 부채비율이 87.89%로 안정적임; PER이 15.44로 고평가 가능성; PBR이 0.52로 적정 수준
롯데손해보험,000400,1762,546812595840,,,1856.8622513220853,341.7579,0.6976,20,주의 필요,부채비율이 1856.86%로 높음; PER이 341.76로 고평가 가능성; PBR이 0.70로 적정 수준
대원강업,000430,3615,224130000000,23.56342609324178,2.3325533781807546,91.23348017621146,6.5535,0.3287,70,좋음,매출 성장률이 23.56%로 우수함; 순이익률이 2.33%로 개선 필요; 부채비율이 91.23%로 안정적임; PER이 6.55로 적정 수준; PBR이 0.33로 저평가 가능성
중앙에너비스,000440,15440,96146887200,-10.27027027027027,-1.8072289156626504,7.142857142857142,-137.3527,1.7764,50,보통,매출 성장률이 -10.27%로 저조함; 순이익률이 -1.81%로 개선 필요; 부채비율이 7.14%로 안정적임; PER이 -137.35로 저평가 가능성; PBR이 1.78로 적정 수준
CR홀딩스,000480,5470,256490980300,-0.7467254253886645,0.30833744449926,96.92611066001623,-25.3951,0.3066,40,보통,매출 성장률이 -0.75%로 저조함; 순이익률이 0.31%로 개선 필요; 부채비율이 96.93%로 안정적임; PER이 -25.40로 저평가 가능성; PBR이 0.31로 저평가 가능성
대동,000490,9720,256536635760,-1.2418027068508442,-3.1859282283130828,254.72388556220892,-6.9147,0.4029,20,주의 필요,매출 성장률이 -1.24%로 저조함; 순이익률이 -3.19%로 개선 필요; 부채비율이 254.72%로 높음; PER이 -6.91로 저평가 가능성; PBR이 0.40로 저평가 가능성
디비금융제14호스팩,0004Y0,1991,10582165000,,,,,,0,주의 필요,
가온전선,000500,64600,1068685229000,15.247564393433871,1.4706733831277863,129.8655499228565,33.8192,2.669,30,주의 필요,매출 성장률이 15.25%로 우수함; 순이익률이 1.47%로 개선 필요; 부채비율이 129.87%로 보통 수준; PER이 33.82로 고평가 가능성; PBR이 2.67로 고평가 가능성
삼일제약,000520,10290,223208735190,11.920529801324504,-2.548930359581247,124.30437251561612,-17.1699,1.2915,60,좋음,매출 성장률이 11.92%로 우수함; 순이익률이 -2.55%로 개선 필요; 부채비율이 124.30%로 보통 수준; PER이 -17.17로 저평가 가능성; PBR이 1.29로 적정 수준
흥국화재,000540,4700,301940431500,,,1568.7847806393168,1.6138,0.3461,20,주의 필요,부채비율이 1568.78%로 높음; PER이 1.61로 저평가 가능성; PBR이 0.35로 저평가 가능성
흥국화재우,000545,8450,6489600000,,,,,,0,주의 필요,
CS홀딩스,000590,86300,99631796600,-17.441860465116278,26.69014084507042,9.298013245033113,2.6498,0.2694,60,좋음,매출 성장률이 -17.44%로 저조함; 순이익률이 26.69%로 우수함; 부채비율이 9.30%로 안정적임; PER이 2.65로 저평가 가능성; PBR이 0.27로 저평가 가능성
동아쏘시오홀딩스,000640,114000,745153476000,17.77385159010601,4.32043204320432,90.84500422972084,10.9905,0.7006,80,매우 좋음,매출 성장률이 17.77%로 우수함; 순이익률이 4.32%로 개선 필요; 부채비율이 90.85%로 안정적임; PER이 10.99로 적정 수준; PBR이 0.70로 적정 수준
천일고속,000650,42850,61242077000,,,,,,0,주의 필요,
SK하이닉스,000660,262000,190736619630000,,,,,,0,주의 필요,
영풍,000670,43250,826440462500,,,,,,0,주의 필요,
LS네트웍스,000680,3895,306937747320,,,,,,0,주의 필요,
유수홀딩스,000700,5910,153907108920,,,,,,0,주의 필요,
현대건설,000720,65600,7304938184000,,,,,,0,주의 필요,
현대건설우,000725,55600,58640930800,,,,,,0,주의 필요,
이화산업,000760,12740,35672000000,,,,,,0,주의 필요,
삼성화재,000810,435500,20037858002500,,,,,,0,주의 필요,
삼성화재우,000815,332000,1029037320000,,,,,,0,주의 필요,
화천기공,000850,32150,70730000000,,,,,,0,주의 필요,
강남제비스코,000860,12550,163150000000,,,,,,0,주의 필요,
한화,000880,93400,7001145849000,,,,,,0,주의 필요,
한화3우B,00088K,39800,772296751800,,,,,,0,주의 필요,
보해양조,000890,461,64134379469,,,,,,0,주의 필요,
유니온,000910,4855,75794410245,,,,,,0,주의 필요,
전방,000950,34000,57120000000,,,,,,0,주의 필요,
한국주철관,000970,7230,164847615000,,,,,,0,주의 필요,
DB하이텍,000990,46150,2048994836200,,,,,,0,주의 필요,
신라섬유,001000,1835,44549285900,,,,,,0,주의 필요,
페이퍼코리아,001020,719,127970002047,,,,,,0,주의 필요,
CJ,001040,149500,4361961201000,,,,,,0,주의 필요,
CJ우,001045,84100,190084754300,,,,,,0,주의 필요,
CJ4우(전환),00104K,123400,521551580800,,,,,,0,주의 필요,
JW중외제약,001060,22400,521604832000,,,,,,0,주의 필요,
JW중외제약우,001065,29300,10019164300,,,,,,0,주의 필요,
JW중외제약2우B,001067,63400,13312288200,,,,,,0,주의 필요,
대한방직,001070,6560,34768000000,,,,,,0,주의 필요,
만호제강,001080,24250,100637500000,,,,,,0,주의 필요,
LX인터내셔널,001120,31950,1238382000000,,,,,,0,주의 필요,
대한제분,001130,151100,255359000000,,,,,,0,주의 필요,
국보,001140,2110,33456978680,,,,,,0,주의 필요,
유진투자증권,001200,3460,335157806280,,,,,,0,주의 필요,
금호전기,001210,1095,67401626715,,,,,,0,주의 필요,
동국홀딩스,001230,8440,268396076520,,,,,,0,주의 필요,
GS글로벌,001250,2710,223666500440,,,,,,0,주의 필요,
남광토건,001260,8580,84363467760,,,,,,0,주의 필요,
부국증권,001270,53300,552714923800,,,,,,0,주의 필요,
부국증권우,001275,25500,76500000000,,,,,,0,주의 필요,
상상인증권,001290,687,74427601440,,,,,,0,주의 필요,
PKC,001340,5940,266815337580,,,,,,0,주의 필요,
삼성제약,001360,1605,151130136795,,,,,,0,주의 필요,
SG글로벌,001380,1675,75314939525,,,,,,0,주의 필요,
KG케미칼,001390,4620,316326964800,,,,,,0,주의 필요,
태원물산,001420,3750,28500000000,,,,,,0,주의 필요,
세아베스틸지주,001430,32700,1172691291300,,,,,,0,주의 필요,
대한전선,001440,15880,2960783124000,,,,,,0,주의 필요,
현대해상,001450,25900,2315460000000,,,,,,0,주의 필요,
BYC,001460,39900,249221385000,,,,,,0,주의 필요,
BYC우,001465,25050,53953942500,,,,,,0,주의 필요,
삼부토건,001470,347,79699592928,,,,,,0,주의 필요,
현대차증권,001500,8610,532382508840,,,,,,0,주의 필요,
SK증권,001510,670,316635414570,,,,,,0,주의 필요,
SK증권우,001515,2185,8548843090,,,,,,0,주의 필요,
동양,001520,624,148938855312,,,,,,0,주의 필요,
동양우,001525,4535,2801410085,,,,,,0,주의 필요,
동양2우B,001527,8760,2703064440,,,,,,0,주의 필요,
DI동일,001530,42400,835940040800,,,,,,0,주의 필요,
안국약품,001540,7740,100948330800,,,,,,0,주의 필요,
조비,001550,12840,66668348760,,,,,,0,주의 필요,
제일연마,001560,9810,96138000000,,,,,,0,주의 필요,
금양,001570,9900,633275240400,,,,,,0,주의 필요,
케이비아이동국실업,001620,488,54310999128,,,,,,0,주의 필요,
종근당홀딩스,001630,51100,256003897100,,,,,,0,주의 필요,
대상,001680,22950,795172173750,,,,,,0,주의 필요,
대상우,001685,17480,23951498040,,,,,,0,주의 필요,
신영증권,001720,128300,2109252000000,,,,,,0,주의 필요,
SK네트웍스,001740,4485,992431390470,,,,,,0,주의 필요,
한양증권,001750,17340,220712779560,,,,,,0,주의 필요,
한양증권우,001755,16710,8772750000,,,,,,0,주의 필요,
SHD,001770,19000,23082682000,,,,,,0,주의 필요,
알루코,001780,2410,233360618120,,,,,,0,주의 필요,
