종목코드,종목명,시장구분,종가,시가총액,기준일,EPS,선행EPS,BPS,주당배당금,종목구분
000020,동화약품,KOSPI,6920,193285772400,20250723,201.0,,13470.0,180.0,보통주
000040,KR모터스,KOSPI,534,32110951512,20250723,,,543.0,0.0,보통주
000050,경방,KOSPI,7790,213564953300,20250723,947.0,,30489.0,150.0,보통주
000070,삼양홀딩스,KOSPI,91000,793286585000,20250723,3651.0,,272260.0,3500.0,보통주
000075,삼양홀딩스우,KOSPI,90000,13580460000,20250723,,,,3550.0,우선주
000080,하이트진로,KOSPI,20850,1462285789350,20250723,1378.0,1883.0,16148.0,700.0,보통주
000087,하이트진로2우B,KOSPI,16170,18274331460,20250723,,,,750.0,우선주
000100,유한양행,KOSPI,125200,10012048312400,20250723,943.0,1811.0,28030.0,500.0,보통주
000105,유한양행우,KOSPI,105300,124352982000,20250723,,,,510.0,우선주
000120,CJ대한통운,KOSPI,91500,2087329476000,20250723,12088.0,11999.0,197983.0,800.0,보통주
000140,하이트진로홀딩스,KOSPI,10720,248776520800,20250723,2106.0,,25790.0,350.0,보통주
000145,하이트진로홀딩스우,KOSPI,12750,6002827500,20250723,,,,400.0,우선주
000150,두산,KOSPI,556000,9187252260000,20250723,,15589.0,83153.0,2000.0,보통주
000155,두산우,KOSPI,375000,1498673250000,20250723,,,,2050.0,우선주
000157,두산2우B,KOSPI,407000,363466466000,20250723,,,,2000.0,우선주
000180,성창기업지주,KOSPI,1634,113974114400,20250723,,,8292.0,0.0,보통주
000210,DL,KOSPI,53500,1121139794000,20250723,3948.0,6255.0,181662.0,1000.0,보통주
000215,DL우,KOSPI,28600,48222889000,20250723,,,,1050.0,우선주
000220,유유제약,KOSPI,4660,79370755660,20250723,468.0,,6671.0,100.0,보통주
000225,유유제약1우,KOSPI,5030,11402657900,20250723,,,,120.0,우선주
000227,유유제약2우B,KOSPI,10480,3411868800,20250723,,,,120.0,우선주
000230,일동홀딩스,KOSPI,8930,103055772000,20250723,5582.0,,11857.0,0.0,보통주
000240,한국앤컴퍼니,KOSPI,25550,2425595382000,20250723,3703.0,4033.0,47012.0,1000.0,보통주
000250,삼천당제약,KOSDAQ,213500,5008170272000,20250723,,,11442.0,200.0,보통주
000270,기아,KOSPI,106100,42193066255200,20250723,24893.0,21794.0,141812.0,6500.0,보통주
000300,DH오토넥스,KOSPI,1984,162944308992,20250723,5650.0,,426.0,0.0,보통주
000320,노루홀딩스,KOSPI,23200,308354703200,20250723,4836.0,3245.0,44812.0,550.0,보통주
000325,노루홀딩스우,KOSPI,34050,8293183950,20250723,,,,555.0,우선주
000370,한화손해보험,KOSPI,6500,758802947500,20250723,2121.0,2402.0,18660.0,0.0,보통주
000390,삼화페인트,KOSPI,6220,169205577180,20250723,654.0,,13171.0,350.0,보통주
000400,롯데손해보험,KOSPI,1888,585914972160,20250723,68.0,,2569.0,0.0,보통주
000430,대원강업,KOSPI,3710,230020000000,20250723,381.0,,8359.0,110.0,보통주
000440,중앙에너비스,KOSDAQ,16010,99696351300,20250723,,,12305.0,320.0,보통주
000480,CR홀딩스,KOSPI,5450,255553170500,20250723,,,14790.0,410.0,보통주
000490,대동,KOSPI,10640,280817881120,20250723,,,17911.0,100.0,보통주
0004Y0,디비금융제14호스팩,KOSDAQ,1987,10560905000,20250723,,,,0.0,스팩
000500,가온전선,KOSPI,64200,1062067983000,20250723,3270.0,3988.0,46022.0,0.0,보통주
000520,삼일제약,KOSPI,10750,233186968250,20250723,,154.0,8296.0,0.0,보통주
000540,흥국화재,KOSPI,4790,307722269550,20250723,1459.0,,11857.0,0.0,보통주
000545,흥국화재우,KOSPI,7970,6120960000,20250723,,,,0.0,우선주
000590,CS홀딩스,KOSPI,91200,105288758400,20250723,29452.0,,305543.0,500.0,보통주
000640,동아쏘시오홀딩스,KOSPI,121600,794830374400,20250723,9017.0,14938.0,163120.0,1700.0,보통주
000650,천일고속,KOSPI,42700,61027694000,20250723,,,9871.0,0.0,보통주
000660,SK하이닉스,KOSPI,269000,195832636185000,20250723,28732.0,44112.0,107256.0,2204.0,보통주
000670,영풍,KOSPI,43850,837905532500,20250723,,,202088.0,5.0,보통주
000680,LS네트웍스,KOSPI,3925,309301837800,20250723,,,6927.0,0.0,보통주
000700,유수홀딩스,KOSPI,6120,159375889440,20250723,1288.0,,13098.0,350.0,보통주
000720,현대건설,KOSPI,66000,7349480490000,20250723,,5861.0,71394.0,600.0,보통주
000725,현대건설우,KOSPI,58200,61383132600,20250723,,,,650.0,우선주
000760,이화산업,KOSPI,12740,35672000000,20250723,,,48504.0,0.0,보통주
000810,삼성화재,KOSPI,463000,21303164765000,20250723,48779.0,43481.0,366202.0,19000.0,보통주
000815,삼성화재우,KOSPI,347000,1075529970000,20250723,,,,19005.0,우선주
000850,화천기공,KOSPI,32950,72490000000,20250723,3934.0,,153304.0,1050.0,보통주
000860,강남제비스코,KOSPI,12730,165490000000,20250723,1020.0,,47643.0,250.0,보통주
