종목코드,기준일,지표,값
000020,20250723,DY,0.026
000020,20250723,PBR,0.1199
000020,20250723,PCR,-12.3112
000020,20250723,PER,-120.8036
000020,20250723,PSR,0.4098
000040,20250723,DY,0.0
000040,20250723,PBR,0.254
000040,20250723,PCR,-7.2979
000040,20250723,PER,-4.7222
000040,20250723,PSR,1.9001
000050,20250723,DY,0.0193
000050,20250723,PBR,0.0711
000050,20250723,PCR,5.0133
000050,20250723,PER,8.1203
000050,20250723,PSR,0.5318
000070,20250723,DY,0.0385
000070,20250723,PBR,0.0665
000070,20250723,PCR,4.1339
000070,20250723,PER,9.4551
000070,20250723,PSR,0.2236
000080,20250723,DY,0.0336
000080,20250723,PBR,0.3185
000080,20250723,PCR,4.0789
000080,20250723,PER,13.59
000080,20250723,PSR,0.5644
000100,20250723,DY,0.004
000100,20250723,PBR,1.1693
000100,20250723,PCR,197.0876
000100,20250723,PER,184.3839
000100,20250723,PSR,4.7343
000120,20250723,DY,0.0087
000120,20250723,PBR,0.1267
000120,20250723,PCR,3.4456
000120,20250723,PER,8.2211
000120,20250723,PSR,0.1713
000140,20250723,DY,0.0326
000140,20250723,PBR,0.0539
000140,20250723,PCR,0.742
000140,20250723,PER,2.4903
000140,20250723,PSR,0.0966
000150,20250723,DY,0.0036
000150,20250723,PBR,0.1939
000150,20250723,PCR,-13.4336
000150,20250723,PER,104.8773
000150,20250723,PSR,0.5113
000180,20250723,DY,0.0
000180,20250723,PBR,0.0492
000180,20250723,PCR,35.6169
000180,20250723,PER,-29.9932
000180,20250723,PSR,0.8283
000210,20250723,DY,0.0187
000210,20250723,PBR,0.0598
000210,20250723,PCR,2.089
000210,20250723,PER,25.8924
000210,20250723,PSR,0.2003
000220,20250723,DY,0.0215
000220,20250723,PBR,0.1496
000220,20250723,PCR,3.0527
000220,20250723,PER,10.3079
000220,20250723,PSR,0.5981
000230,20250723,DY,0.0
000230,20250723,PBR,0.1248
000230,20250723,PCR,3.979
000230,20250723,PER,1.7408
000230,20250723,PSR,0.1597
000240,20250723,DY,0.0391
000240,20250723,PBR,0.1384
000240,20250723,PCR,19.8008
000240,20250723,PER,6.8889
000240,20250723,PSR,1.695
000250,20250723,DY,0.0009
000250,20250723,PBR,3.5557
000250,20250723,PCR,240.7774
000250,20250723,PER,-821.0115
000250,20250723,PSR,23.5015
000270,20250723,DY,0.0613
000270,20250723,PBR,0.1963
000270,20250723,PCR,3.4101
000270,20250723,PER,4.5085
000270,20250723,PSR,0.3862
000300,20250723,DY,0.0
000300,20250723,PBR,-0.7239
000300,20250723,PCR,16.459
000300,20250723,PER,1.4023
000300,20250723,PSR,4.9527
000320,20250723,DY,0.0237
000320,20250723,PBR,0.1023
000320,20250723,PCR,4.1446
000320,20250723,PER,3.9231
000320,20250723,PSR,0.2453
000370,20250723,DY,0.0
000370,20250723,PBR,0.065
000370,20250723,PCR,0.5937
000370,20250723,PER,2.2651
000390,20250723,DY,0.0563
000390,20250723,PBR,0.1324
000390,20250723,PCR,5.8549
000390,20250723,PER,15.6672
000390,20250723,PSR,0.2723
000400,20250723,DY,0.0
000400,20250723,PBR,0.1869
000400,20250723,PCR,3.3366
000400,20250723,PER,366.1969
000430,20250723,DY,0.0296
000430,20250723,PBR,0.0843
000430,20250723,PCR,3.5225
000430,20250723,PER,6.7257
000430,20250723,PSR,0.157
000440,20250723,DY,0.02
000440,20250723,PBR,0.4605
000440,20250723,PCR,-166.1606
000440,20250723,PER,-142.4234
000440,20250723,PSR,1.9359
000480,20250723,DY,0.0752
000480,20250723,PBR,0.0764
000480,20250723,PCR,5.6538
000480,20250723,PER,-25.3023
000480,20250723,PSR,0.3126
000490,20250723,DY,0.0094
000490,20250723,PBR,0.1103
000490,20250723,PCR,0.9308
000490,20250723,PER,-7.5692
000490,20250723,PSR,0.195
000500,20250723,DY,0.0
000500,20250723,PBR,0.6631
000500,20250723,PCR,-28.7045
000500,20250723,PER,33.6097
000500,20250723,PSR,0.5407
000520,20250723,DY,0.0
000520,20250723,PBR,0.3373
000520,20250723,PCR,-44.8436
000520,20250723,PER,-17.9375
000520,20250723,PSR,1.0711
000540,20250723,DY,0.0
000540,20250723,PBR,0.0882
000540,20250723,PCR,0.4811
000540,20250723,PER,1.6447
000590,20250723,DY,0.0055
000590,20250723,PBR,0.0712
000590,20250723,PCR,4.4995
000590,20250723,PER,2.8002
000590,20250723,PSR,0.7776
000640,20250723,DY,0.014
000640,20250723,PBR,0.1868
000640,20250723,PCR,7.6279
000640,20250723,PER,11.7232
000640,20250723,PSR,0.5859
000650,20250723,DY,0.0
000650,20250723,PBR,1.045
000650,20250723,PCR,40.6851
000650,20250723,PER,-14.1925
000650,20250723,PSR,1.3622
000660,20250723,DY,0.0082
000660,20250723,PBR,0.6982
000660,20250723,PCR,5.8522
000660,20250723,PER,7.5355
000660,20250723,PSR,2.7427
000670,20250723,DY,0.0001
000670,20250723,PBR,0.0495
000670,20250723,PCR,-6.8568
000670,20250723,PER,-26.103
